,created_at,text
68,2021-04-26T19:26:37.000Z,"#Subscription, #share, #EV -- is this regarding the 1000 off-lease $TSLA 's coming up? Or something else? 🤔 
Guess we'll see #curious $pbx $pwwbf https://t.co/95vUHpp2Dy"
69,2021-04-26T19:26:34.000Z,RT @ZyiteGadgets: Tesla lifts S&amp;P 500 ahead of tech earnings wave https://t.co/piZrXUeLXL https://t.co/ICuWD1GgFN
70,2021-04-26T19:26:34.000Z,"RT @FinancialReview: Australian shares are poised for a modest lift at the open. Meantime, the currency surged, topping US78¢ as copper and…"
71,2021-04-26T19:26:34.000Z,"Sold $MVIS 

But $FCEL $OCGN 

And $TSLA EARNINGS #LFG https://t.co/0wc882nnM6"
72,2021-04-26T19:26:32.000Z,RT @michidee_: Tesla content to the moon ☄️✨🔥 https://t.co/lEccWXDYYd
73,2021-04-26T19:26:31.000Z,@Laurie_Garrett @Tesla Just another predator idolized by millions here on Planet Patriarchy. 😱
74,2021-04-26T19:26:30.000Z,"RT @uahikea: Are you surprised?

https://t.co/YnKlRCUNNe"
75,2021-04-26T19:26:28.000Z,"RT @PopCrave: Elon Musk admits ""a bunch of people will probably die"" during his #SpaceX's initial voyages to Mars 🚀:

""You may not come bac…"
76,2021-04-26T19:26:27.000Z,"#SNL doesn't typically have business moguls host, but Elon Musk is not your average corporate guy: https://t.co/V45KxxCTlS https://t.co/adY3a5jcQR"
77,2021-04-26T19:26:27.000Z,"RT @PopCrave: Elon Musk admits ""a bunch of people will probably die"" during his #SpaceX's initial voyages to Mars 🚀:

""You may not come bac…"
78,2021-04-26T19:26:23.000Z,RT @APompliano: Will @elonmusk and Tesla announce today that they bought the dip?
79,2021-04-26T19:26:22.000Z,"RT @wjz: A DC pastor allegedly bought 39 cars, including a Tesla, and a property in Baltimore with CARES Act funds, a federal complaint say…"
80,2021-04-26T19:26:21.000Z,"RT @PopCrave: Elon Musk admits ""a bunch of people will probably die"" during his #SpaceX's initial voyages to Mars 🚀:

""You may not come bac…"
81,2021-04-26T19:26:20.000Z,RT @christapeterso: New type of Elon Musk guy that appears to think Willy Wonka is real https://t.co/F6s6rFbviu
82,2021-04-26T19:26:19.000Z,"RT @Avatrode: VW was  able to **ID** bikes and cars through direct contact.... TESLA was penalized for not touching bikes, cars, or pedestr…"
83,2021-04-26T19:26:19.000Z,"RT @PunchableFaceVI: 2008: Google bought YouTube for $1.65 billion and it now generates $1.65 billion in revenue every 3 weeks.

2021: You…"
84,2021-04-26T19:26:17.000Z,"RT @RonPlacone: LIVE Late Night Celebrating Elon Musk &amp; George W. Bush, Guest Lauren Ashcraft https://t.co/SUAwpTT1JV"
85,2021-04-26T19:26:13.000Z,RT @MattWallace888: Press retweet if you want to see an Elon Musk Dogecoin skit with Miley Cyrus on SNL 😂👍🏼 https://t.co/ywGP5WjeU3
86,2021-04-26T19:26:11.000Z,"Sign me up. I'd like to see the Red Planet close up. Especially since they can create oxygen from Mars' atmosphere. Pure oxygen. Wow!!!!!!

https://t.co/3nQ8Efq0Iy"
87,2021-04-26T19:26:10.000Z,"RT @CNBC: Elon Musk: I sleep ""about 6 hours"" a night – ""I tried less, but total productivity decreases."" (via @CNBCMakeIt) https://t.co/FEe…"
88,2021-04-26T19:26:10.000Z,"@repaveli_p @elonmusk @WholeMarsBlog @Kristennetten @EV_Stevee DC is normally used for #tesla Superchargers &amp; other generic chargers, so no problem.  
at home you should try &amp; charge with 240Volts AC. 
Daily charge to about 85-90% 
100% if you are going on a road trip. 
If you need 100% charge regularly then schedule the charge fo departure"
89,2021-04-26T19:26:10.000Z,@Whittz Lmaooo Babes you haven’t given me a ride with your Tesla
90,2021-04-26T19:26:10.000Z,✨ Participate in the April #Webull wheel event to win awesome prizes! 😍 4000 shares of TSLA stocks are waiting to be claimed. 💙 https://t.co/0oyhFD9oQ7
91,2021-04-26T19:26:09.000Z,Tesla lifts S&amp;P 500 ahead of tech earnings wave https://t.co/piZrXUeLXL https://t.co/ICuWD1GgFN
92,2021-04-26T19:26:08.000Z,RT @DriveTeslaca: Ford’s Mike Levine blocks hundreds of Tesla fans after anti-Tesla tweets https://t.co/fQB0IfLbwD
93,2021-04-26T19:26:08.000Z,RT @christapeterso: New type of Elon Musk guy that appears to think Willy Wonka is real https://t.co/F6s6rFbviu
94,2021-04-26T19:26:08.000Z,"RT @CNBC: Elon Musk: I sleep ""about 6 hours"" a night – ""I tried less, but total productivity decreases."" (via @CNBCMakeIt) https://t.co/FEe…"
95,2021-04-26T19:26:07.000Z,Going to play $TSLA earnings with profits. High risk play. Don’t follow if you can’t afford to see this investment go to $0
96,2021-04-26T19:26:06.000Z,#Bitcoin on Track for Biggest Bounce Since February on Musk Tweet - TheStreet https://t.co/K9h9h2RXQ0
97,2021-04-26T19:26:05.000Z,"RT @WSJ: “Spreading like wildfire.” How a new Covid-19 surge hit India after loosening restrictions and public complacency set in, with var…"
98,2021-04-26T15:28:00.000Z,"RT @cleantechnica: How to Get a Tesla Model 3 for $25,000 https://t.co/jCCvHQK4Wj"
99,2021-04-26T15:27:59.000Z,"RT @screenrant: The backlash to Elon Musk hosting #SNL has led to a new meme, with many sharing their own ideas for hosts and musical guest…"
100,2021-04-26T15:27:59.000Z,"RT @pervocracy: @miniondeathcult It is absolutely amazing how much people idolize Elon Musk for starting a Mars colony, a thing he has not…"
101,2021-04-26T15:27:57.000Z,"RT @babadookspinoza: People only hate Elon Musk because he comes from an emerald mining fortune made in apartheid South Africa, he buys ide…"
102,2021-04-26T15:27:56.000Z,@bitchbitesd0g I think we all know it’s Elon musk
103,2021-04-26T15:27:55.000Z,@CNBCTechCheck @elonmusk Miley Cirus walks into #Tesla on May 8th &amp; Defis the fossil fueled wrecking ball for a new kind of ride-#S3XY
104,2021-04-26T15:27:54.000Z,"Wow! This guy became millionaire just by buying and #HODL #doge #dogecoin . i want to be like him when i grow up from tadpole 🐋 to 🐸☕️

https://t.co/yZXTUM21RF

#cryptocrash #cryptocurrencies #cryptonews #crypto #altseasonnapril"
105,2021-04-26T15:27:54.000Z,@JosephVVallace Agree. reflects pure energy and design. Watching TSLA price and planning to order white refresh X with white interior. Then I will have made it.
106,2021-04-26T15:27:54.000Z,"@DouglasLukasik Eh, I don't think you can build your entire political persona over what's out of step or not with the average person. Elon Musk is also out of step with the average person. The average person is sometimes wrong!"
107,2021-04-26T15:27:52.000Z,@PPathole @elonmusk @Tesla And you don't need to be behind the wheel.
